column,role,original_column,raw_preserved_in,preserves_source_column,preserves_original_column,dtype,non_null_count,missing_count,missing_pct,unique_count
source_file,provenance,,,,,object,276,0,0.0,1
source_row_number,provenance,,,,,int64,276,0,0.0,276
raw_record_id,provenance,,,,,object,276,0,0.0,276
date,cleaned_or_parsed_source,date,date_raw_source,,,string,276,0,0.0,131
time,cleaned_or_parsed_source,time,time_raw_source,,,string,275,1,0.36,154
observed_at,cleaned_data,,,,,string,275,1,0.36,193
needs_review,review_flag,,,,,bool,276,0,0.0,2
review_reasons,review_flag,,,,,object,276,0,0.0,19
possible_normalized_duplicate,review_flag,,,,,bool,276,0,0.0,1
normalized_duplicate_group,review_flag,,,,,float64,0,276,100.0,0
input_raw_record_id,cleaned_data,raw_record_id,,,,object,276,0,0.0,276
input_source_file,cleaned_data,source_file,,,,object,276,0,0.0,1
input_source_sheet,cleaned_data,source_sheet,,,,object,276,0,0.0,3
input_source_row_number,cleaned_data,source_row_number,,,,object,276,0,0.0,117
input_observed_at,cleaned_or_parsed_source,observed_at,input_observed_at_raw,,,object,275,1,0.36,193
input_needs_review,cleaned_data,needs_review,,,,object,276,0,0.0,2
input_review_reasons,cleaned_data,review_reasons,,,,object,276,0,0.0,21
water_in_return,cleaned_or_parsed_source,water_in_return,water_in_return_raw_source,,,object,144,132,47.83,41
mins_added,cleaned_or_parsed_source,mins_added,mins_added_raw_source,,,object,94,182,65.94,18
return_now,cleaned_or_parsed_source,return_now,return_now_raw_source,,,object,95,181,65.58,33
nutrient_solution,cleaned_or_parsed_source,nutrient_solution,nutrient_solution_raw,,,object,55,221,80.07,21
ph_down,cleaned_or_parsed_source,ph_down,ph_down_raw_source,,,object,34,242,87.68,9
how_much_consumed,cleaned_or_parsed_source,how_much_consumed,how_much_consumed_raw_source,,,object,136,140,50.72,58
leak_or_no,cleaned_or_parsed_source,leak_or_no,leak_or_no_raw_source,,,object,157,119,43.12,18
how_many_planted,cleaned_or_parsed_source,how_many_planted,how_many_planted_raw,,,object,140,136,49.28,13
problems,cleaned_or_parsed_source,problems,problems_raw,,,object,36,240,86.96,23
plant,cleaned_or_parsed_source,plant,plant_raw_source,,,object,116,160,57.97,7
seed_or_seedling,cleaned_or_parsed_source,seed_or_seedling,seed_or_seedling_raw_source,,,object,116,160,57.97,8
age,cleaned_or_parsed_source,age,age_raw,,,object,116,160,57.97,93
watered_amount,cleaned_or_parsed_source,watered_amount,watered_amount_raw_source,,,object,111,165,59.78,37
how_many_plants_planted,cleaned_or_parsed_source,how_many_plants_planted,how_many_plants_planted_raw,,,object,116,160,57.97,10
problems_faced,cleaned_or_parsed_source,problems_faced,problems_faced_raw,,,object,9,267,96.74,9
date_raw,cleaned_data,date_raw,,,,object,276,0,0.0,131
how_much_consumed_raw,cleaned_data,how_much_consumed_raw,,,,object,276,0,0.0,61
leak_or_no_raw,cleaned_data,leak_or_no_raw,,,,object,276,0,0.0,20
mins_added_raw,cleaned_data,mins_added_raw,,,,object,276,0,0.0,20
ph_down_raw,cleaned_data,ph_down_raw,,,,object,276,0,0.0,11
plant_raw,cleaned_data,plant_raw,,,,object,276,0,0.0,10
return_now_raw,cleaned_data,return_now_raw,,,,object,276,0,0.0,35
seed_or_seedling_raw,cleaned_data,seed_or_seedling_raw,,,,object,276,0,0.0,10
time_raw,cleaned_data,time_raw,,,,object,276,0,0.0,155
water_in_return_raw,cleaned_data,water_in_return_raw,,,,object,276,0,0.0,43
watered_amount_raw,cleaned_data,watered_amount_raw,,,,object,276,0,0.0,39
mins_added_minutes,cleaned_or_parsed_source,mins_added_minutes,mins_added_minutes_raw,,,float64,76,200,72.46,12
mins_added_parse_status,parse_status,mins_added_parse_status,,,,object,276,0,0.0,4
water_in_return_liters,cleaned_or_parsed_source,water_in_return_liters,water_in_return_liters_raw,,,float64,141,135,48.91,37
water_in_return_liters_parse_status,parse_status,water_in_return_liters_parse_status,,,,object,276,0,0.0,4
return_now_liters,cleaned_or_parsed_source,return_now_liters,return_now_liters_raw,,,float64,95,181,65.58,27
return_now_liters_parse_status,parse_status,return_now_liters_parse_status,,,,object,276,0,0.0,2
how_much_consumed_liters,cleaned_or_parsed_source,how_much_consumed_liters,how_much_consumed_liters_raw,,,float64,136,140,50.72,44
how_much_consumed_liters_parse_status,parse_status,how_much_consumed_liters_parse_status,,,,object,276,0,0.0,2
watered_amount_liters,cleaned_or_parsed_source,watered_amount_liters,watered_amount_liters_raw,,,float64,94,182,65.94,16
watered_amount_liters_parse_status,parse_status,watered_amount_liters_parse_status,,,,object,276,0,0.0,4
ph_down_milliliters,cleaned_or_parsed_source,ph_down_milliliters,ph_down_milliliters_raw,,,float64,27,249,90.22,5
ph_down_milliliters_parse_status,parse_status,ph_down_milliliters_parse_status,,,,object,276,0,0.0,3
leak_reported,cleaned_data,leak_reported,,,,boolean,157,119,43.12,2
problem_notes,cleaned_or_parsed_source,problem_notes,problem_notes_raw,,,object,45,231,83.7,32
planting_notes,cleaned_or_parsed_source,planting_notes,planting_notes_raw,,,object,256,20,7.25,23
water_in_return_liters_possible_outlier,quality_flag,water_in_return_liters_possible_outlier,,,,bool,276,0,0.0,2
return_now_liters_possible_outlier,quality_flag,return_now_liters_possible_outlier,,,,bool,276,0,0.0,1
how_much_consumed_liters_possible_outlier,quality_flag,how_much_consumed_liters_possible_outlier,,,,bool,276,0,0.0,2
watered_amount_liters_possible_outlier,quality_flag,watered_amount_liters_possible_outlier,,,,bool,276,0,0.0,2
ph_down_milliliters_possible_outlier,quality_flag,ph_down_milliliters_possible_outlier,,,,bool,276,0,0.0,1
mins_added_minutes_possible_outlier,quality_flag,mins_added_minutes_possible_outlier,,,,bool,276,0,0.0,2
age_raw,preserved_raw_value,,,age,age,object,276,0,0.0,94
date_raw_source,preserved_raw_value,,,date,date,object,276,0,0.0,131
how_many_planted_raw,preserved_raw_value,,,how_many_planted,how_many_planted,object,276,0,0.0,14
how_many_plants_planted_raw,preserved_raw_value,,,how_many_plants_planted,how_many_plants_planted,object,276,0,0.0,11
how_much_consumed_raw_source,preserved_raw_value,,,how_much_consumed,how_much_consumed,object,276,0,0.0,59
how_much_consumed_liters_raw,preserved_raw_value,,,how_much_consumed_liters,how_much_consumed_liters,object,276,0,0.0,45
input_observed_at_raw,preserved_raw_value,,,input_observed_at,observed_at,object,276,0,0.0,194
leak_or_no_raw_source,preserved_raw_value,,,leak_or_no,leak_or_no,object,276,0,0.0,19
mins_added_raw_source,preserved_raw_value,,,mins_added,mins_added,object,276,0,0.0,19
mins_added_minutes_raw,preserved_raw_value,,,mins_added_minutes,mins_added_minutes,object,276,0,0.0,13
nutrient_solution_raw,preserved_raw_value,,,nutrient_solution,nutrient_solution,object,276,0,0.0,22
ph_down_raw_source,preserved_raw_value,,,ph_down,ph_down,object,276,0,0.0,10
ph_down_milliliters_raw,preserved_raw_value,,,ph_down_milliliters,ph_down_milliliters,object,276,0,0.0,6
plant_raw_source,preserved_raw_value,,,plant,plant,object,276,0,0.0,8
planting_notes_raw,preserved_raw_value,,,planting_notes,planting_notes,object,276,0,0.0,24
problem_notes_raw,preserved_raw_value,,,problem_notes,problem_notes,object,276,0,0.0,33
problems_raw,preserved_raw_value,,,problems,problems,object,276,0,0.0,24
problems_faced_raw,preserved_raw_value,,,problems_faced,problems_faced,object,276,0,0.0,10
return_now_raw_source,preserved_raw_value,,,return_now,return_now,object,276,0,0.0,34
return_now_liters_raw,preserved_raw_value,,,return_now_liters,return_now_liters,object,276,0,0.0,28
seed_or_seedling_raw_source,preserved_raw_value,,,seed_or_seedling,seed_or_seedling,object,276,0,0.0,9
time_raw_source,preserved_raw_value,,,time,time,object,276,0,0.0,155
water_in_return_raw_source,preserved_raw_value,,,water_in_return,water_in_return,object,276,0,0.0,42
water_in_return_liters_raw,preserved_raw_value,,,water_in_return_liters,water_in_return_liters,object,276,0,0.0,38
watered_amount_raw_source,preserved_raw_value,,,watered_amount,watered_amount,object,276,0,0.0,38
watered_amount_liters_raw,preserved_raw_value,,,watered_amount_liters,watered_amount_liters,object,276,0,0.0,17
date_date_parse_status,parse_status,,,,,string,276,0,0.0,1
mins_added_minutes_parse_status,parse_status,,,,,object,276,0,0.0,4
mins_added_minutes_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
water_in_return_liters_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
return_now_liters_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
how_much_consumed_liters_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
watered_amount_liters_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
ph_down_milliliters_numeric_parse_status,parse_status,,,,,string,276,0,0.0,2
